scheme_tc,constituent_fund_tc,mpf_trustee_tc,fund_type_tc
滙豐強積金智選計劃,智優逸歐洲股票追蹤指數基金,HSBC,股票基金 - 歐洲股票基金
滙豐強積金智選計劃,智優逸北美股票追蹤指數基金,HSBC,股票基金 - 美國股票基金
宏利環球精選（強積金）計劃,宏利 MPF 2025 退休基金,宏利,混合資產基金 - 未分類混合資產基金
宏利環球精選（強積金）計劃,宏利 MPF 2030 退休基金,宏利,混合資產基金 - 未分類混合資產基金
宏利環球精選（強積金）計劃,宏利 MPF 2035 退休基金,宏利,混合資產基金 - 未分類混合資產基金
宏利環球精選（強積金）計劃,宏利 MPF 2040 退休基金,宏利,混合資產基金 - 未分類混合資產基金
宏利環球精選（強積金）計劃,宏利 MPF 2045 退休基金,宏利,混合資產基金 - 未分類混合資產基金
宏利環球精選（強積金）計劃,宏利 MPF 65歲後基金,宏利,混合資產基金 - 預設投資策略-65歲後基金
宏利環球精選（強積金）計劃,宏利 MPF 進取基金,宏利,混合資產基金 - 81% 至 100% 股票
宏利環球精選（強積金）計劃,宏利 MPF 中華威力基金,宏利,股票基金 - 大中華股票基金
宏利環球精選（強積金）計劃,宏利 MPF 保守基金,宏利,貨幣市場基金 — 強積金保守基金
宏利環球精選（強積金）計劃,宏利 MPF 核心累積基金,宏利,混合資產基金 - 預設投資策略-核心累積基金
宏利環球精選（強積金）計劃,宏利 MPF 歐洲股票基金,宏利,股票基金 - 歐洲股票基金
宏利環球精選（強積金）計劃,宏利 MPF 富達增長基金,宏利,混合資產基金 - 81% 至 100% 股票
宏利環球精選（強積金）計劃,宏利 MPF 富達平穩增長基金,宏利,混合資產基金 - 41% 至 60% 股票
宏利環球精選（強積金）計劃,宏利 MPF 增長基金,宏利,混合資產基金 - 61% 至 80% 股票
宏利環球精選（強積金）計劃,宏利 MPF 恒指ESG基金,宏利,股票基金 - 香港股票基金（追蹤指數）
宏利環球精選（強積金）計劃,宏利 MPF 康健護理基金,宏利,股票基金 - 未分類股票基金
宏利環球精選（強積金）計劃,宏利 MPF 香港債券基金,宏利,債券基金 - 港元債券基金
宏利環球精選（強積金）計劃,宏利 MPF 香港股票基金,宏利,股票基金 - 香港股票基金
宏利環球精選（強積金）計劃,宏利 MPF 利息基金,宏利,保證基金
宏利環球精選（強積金）計劃,宏利 MPF 國際債券基金,宏利,債券基金 - 環球債券基金
宏利環球精選（強積金）計劃,宏利 MPF 國際股票基金,宏利,股票基金 - 環球股票基金
宏利環球精選（強積金）計劃,宏利 MPF 日本股票基金,宏利,股票基金 - 日本股票基金
